order_number,product_key,customer_key,order_date,ship_date,due_date,sales_amount,quantity,price
SO43746,29,5617,2011-01-10,2011-01-17,2011-01-22,3578,1,3578
SO43747,31,16624,2011-01-11,2011-01-18,2011-01-23,3578,1,3578
SO43748,30,16626,2011-01-11,2011-01-18,2011-01-23,3578,1,3578
SO43749,31,16637,2011-01-11,2011-01-18,2011-01-23,3578,1,3578
SO43750,28,592,2011-01-11,2011-01-18,2011-01-23,3578,1,3578
SO43751,30,593,2011-01-11,2011-01-18,2011-01-23,3578,1,3578
SO43752,28,2266,2011-01-11,2011-01-18,2011-01-23,3578,1,3578
SO43753,32,5483,2011-01-11,2011-01-18,2011-01-23,3578,1,3578
SO43754,29,16618,2011-01-12,2011-01-19,2011-01-24,3578,1,3578
SO43755,28,16671,2011-01-12,2011-01-19,2011-01-24,3578,1,3578
SO43756,88,8942,2011-01-12,2011-01-19,2011-01-24,699,1,699
SO43757,5,18,2011-01-12,2011-01-19,2011-01-24,3375,1,3375
SO43758,32,16647,2011-01-13,2011-01-20,2011-01-25,3578,1,3578
SO43759,32,2258,2011-01-13,2011-01-20,2011-01-25,3578,1,3578
SO43760,31,5353,2011-01-13,2011-01-20,2011-01-25,3578,1,3578
SO43761,32,5494,2011-01-13,2011-01-20,2011-01-25,3578,1,3578
SO43762,31,16579,2011-01-14,2011-01-21,2011-01-26,3578,1,3578
SO43763,30,5526,2011-01-14,2011-01-21,2011-01-26,3578,1,3578
SO43764,32,5613,2011-01-14,2011-01-21,2011-01-26,3578,1,3578
SO43765,9,11,2011-01-14,2011-01-21,2011-01-26,3400,1,3400
SO43766,30,5519,2011-01-15,2011-01-22,2011-01-27,3578,1,3578
SO43767,5,2,2011-01-15,2011-01-22,2011-01-27,3375,1,3375
SO43768,29,16650,2011-01-16,2011-01-23,2011-01-28,3578,1,3578
SO43769,29,10660,2011-01-16,2011-01-23,2011-01-28,3578,1,3578
SO43770,29,16615,2011-01-16,2011-01-23,2011-01-28,3578,1,3578
SO43771,93,3560,2011-01-16,2011-01-23,2011-01-28,699,1,699
SO43772,29,5525,2011-01-16,2011-01-23,2011-01-28,3578,1,3578
SO43773,31,5527,2011-01-16,2011-01-23,2011-01-28,3578,1,3578
SO43774,30,5349,2011-01-16,2011-01-23,2011-01-28,3578,1,3578
SO43775,10,28,2011-01-16,2011-01-23,2011-01-28,3400,1,3400
SO43776,31,2261,2011-01-17,2011-01-24,2011-01-29,3578,1,3578
SO43777,28,5516,2011-01-17,2011-01-24,2011-01-29,3578,1,3578
SO43778,8,19,2011-01-17,2011-01-24,2011-01-29,3400,1,3400
SO43779,91,14253,2011-01-17,2011-01-24,2011-01-29,699,1,699
SO43780,28,600,2011-01-18,2011-01-25,2011-01-30,3578,1,3578
SO43781,29,5496,2011-01-18,2011-01-25,2011-01-30,3578,1,3578
SO43782,29,5517,2011-01-18,2011-01-25,2011-01-30,3578,1,3578
SO43783,29,5621,2011-01-18,2011-01-25,2011-01-30,3578,1,3578
SO43784,32,16668,2011-01-19,2011-01-26,2011-01-31,3578,1,3578
SO43785,28,602,2011-01-19,2011-01-26,2011-01-31,3578,1,3578
SO43786,28,608,2011-01-19,2011-01-26,2011-01-31,3578,1,3578
SO43787,7,18386,2011-01-19,2011-01-26,2011-01-31,3400,1,3400
SO43788,6,240,2011-01-19,2011-01-26,2011-01-31,3375,1,3375
SO43789,6,14866,2011-01-19,2011-01-26,2011-01-31,3375,1,3375
SO43790,7,14858,2011-01-19,2011-01-26,2011-01-31,3400,1,3400
SO43791,31,5485,2011-01-19,2011-01-26,2011-01-31,3578,1,3578
SO43792,29,5624,2011-01-19,2011-01-26,2011-01-31,3578,1,3578
SO43793,7,1,2011-01-19,2011-01-26,2011-01-31,3400,1,3400
SO43794,10,30,2011-01-19,2011-01-26,2011-01-31,3400,1,3400
SO43795,29,16616,2011-01-20,2011-01-27,2011-02-01,3578,1,3578
SO43796,87,6957,2011-01-20,2011-01-27,2011-02-01,699,1,699
SO43797,29,5346,2011-01-20,2011-01-27,2011-02-01,3578,1,3578
SO43798,32,5522,2011-01-20,2011-01-27,2011-02-01,3578,1,3578
SO43799,29,5637,2011-01-20,2011-01-27,2011-02-01,3578,1,3578
SO43800,28,10711,2011-01-21,2011-01-28,2011-02-02,3578,1,3578
SO43801,28,2584,2011-01-21,2011-01-28,2011-02-02,3578,1,3578
SO43802,29,594,2011-01-21,2011-01-28,2011-02-02,3578,1,3578
SO43803,31,10742,2011-01-22,2011-01-29,2011-02-03,3578,1,3578
SO43804,32,2586,2011-01-22,2011-01-29,2011-02-03,3578,1,3578
SO43805,92,3511,2011-01-22,2011-01-29,2011-02-03,699,1,699
SO43806,29,5524,2011-01-22,2011-01-29,2011-02-03,3578,1,3578
SO43807,29,612,2011-01-23,2011-01-30,2011-02-04,3578,1,3578
SO43808,30,2260,2011-01-23,2011-01-30,2011-02-04,3578,1,3578
SO43809,32,5351,2011-01-23,2011-01-30,2011-02-04,3578,1,3578
SO43810,8,5,2011-01-23,2011-01-30,2011-02-04,3400,1,3400
SO43811,9,27,2011-01-23,2011-01-30,2011-02-04,3400,1,3400
SO43812,29,16663,2011-01-24,2011-01-31,2011-02-05,3578,1,3578
SO43813,5,17391,2011-01-24,2011-01-31,2011-02-05,3375,1,3375
SO43814,5,14867,2011-01-24,2011-01-31,2011-02-05,3375,1,3375
SO43815,28,5495,2011-01-24,2011-01-31,2011-02-05,3578,1,3578
SO43816,31,5497,2011-01-24,2011-01-31,2011-02-05,3578,1,3578
SO43817,32,5520,2011-01-24,2011-01-31,2011-02-05,3578,1,3578
SO43818,29,5529,2011-01-24,2011-01-31,2011-02-05,3578,1,3578
SO43819,9,7,2011-01-24,2011-01-31,2011-02-05,3400,1,3400
SO43820,29,16652,2011-01-25,2011-02-01,2011-02-06,3578,1,3578
SO43821,32,16664,2011-01-25,2011-02-01,2011-02-06,3578,1,3578
SO43822,30,16670,2011-01-25,2011-02-01,2011-02-06,3578,1,3578
SO43823,87,8943,2011-01-25,2011-02-01,2011-02-06,699,1,699
SO43824,85,3559,2011-01-25,2011-02-01,2011-02-06,699,1,699
SO43825,30,5350,2011-01-25,2011-02-01,2011-02-06,3578,1,3578
SO43826,3,9,2011-01-25,2011-02-01,2011-02-06,3375,1,3375
SO43827,85,14251,2011-01-25,2011-02-01,2011-02-06,699,1,699
SO43828,32,16606,2011-01-26,2011-02-02,2011-02-07,3578,1,3578
SO43829,32,16612,2011-01-26,2011-02-02,2011-02-07,3578,1,3578
SO43830,28,5348,2011-01-26,2011-02-02,2011-02-07,3578,1,3578
SO43831,4,29,2011-01-26,2011-02-02,2011-02-07,3375,1,3375
SO43832,32,2585,2011-01-26,2011-02-02,2011-02-07,3578,1,3578
SO43833,32,10728,2011-01-27,2011-02-03,2011-02-08,3578,1,3578
SO43834,3,17394,2011-01-27,2011-02-03,2011-02-08,3375,1,3375
SO43835,3,8803,2011-01-27,2011-02-03,2011-02-08,3375,1,3375
SO43836,96,15621,2011-01-27,2011-02-03,2011-02-08,699,1,699
SO43837,5,10,2011-01-27,2011-02-03,2011-02-08,3375,1,3375
SO43838,30,16642,2011-01-28,2011-02-04,2011-02-09,3578,1,3578
SO43839,28,16674,2011-01-28,2011-02-04,2011-02-09,3578,1,3578
SO43840,91,6958,2011-01-28,2011-02-04,2011-02-09,699,1,699
SO43841,31,2407,2011-01-28,2011-02-04,2011-02-09,3578,1,3578
SO43842,29,5631,2011-01-28,2011-02-04,2011-02-09,3578,1,3578
SO43918,30,11042,2011-01-29,2011-02-05,2011-02-10,3578,1,3578
SO43919,31,1125,2011-01-29,2011-02-05,2011-02-10,3578,1,3578
SO43920,30,17067,2011-01-29,2011-02-05,2011-02-10,3578,1,3578
SO43921,30,5744,2011-01-29,2011-02-05,2011-02-10,3578,1,3578
SO43922,32,2547,2011-01-29,2011-02-05,2011-02-10,3578,1,3578
SO43923,29,17019,2011-01-30,2011-02-06,2011-02-11,3578,1,3578
SO43924,32,1133,2011-01-30,2011-02-06,2011-02-11,3578,1,3578
SO43925,31,5662,2011-01-30,2011-02-06,2011-02-11,3578,1,3578
SO43926,6,56,2011-01-31,2011-02-07,2011-02-12,3375,1,3375
SO43927,31,5663,2011-01-31,2011-02-07,2011-02-12,3578,1,3578
SO43928,30,5741,2011-01-31,2011-02-07,2011-02-12,3578,1,3578
SO43929,95,14271,2011-01-31,2011-02-07,2011-02-12,699,1,699
SO43930,29,17039,2011-02-01,2011-02-08,2011-02-13,3578,1,3578
SO43931,30,2549,2011-02-01,2011-02-08,2011-02-13,3578,1,3578
SO43932,31,5742,2011-02-01,2011-02-08,2011-02-13,3578,1,3578
SO43933,10,32,2011-02-01,2011-02-08,2011-02-13,3400,1,3400
SO43934,9,35,2011-02-01,2011-02-08,2011-02-13,3400,1,3400
SO43935,89,9049,2011-02-02,2011-02-09,2011-02-14,699,1,699
SO43936,28,17066,2011-02-02,2011-02-09,2011-02-14,3578,1,3578
SO43937,29,6048,2011-02-02,2011-02-09,2011-02-14,3578,1,3578
SO43938,32,5687,2011-02-02,2011-02-09,2011-02-14,3578,1,3578
SO43939,29,5660,2011-02-02,2011-02-09,2011-02-14,3578,1,3578
SO43940,90,14295,2011-02-02,2011-02-09,2011-02-14,699,1,699
SO43941,31,2601,2011-02-03,2011-02-10,2011-02-15,3578,1,3578
SO43942,32,6052,2011-02-03,2011-02-10,2011-02-15,3578,1,3578
SO43943,85,3566,2011-02-03,2011-02-10,2011-02-15,699,1,699
SO43944,7,55,2011-02-03,2011-02-10,2011-02-15,3400,1,3400
SO43945,32,5676,2011-02-03,2011-02-10,2011-02-15,3578,1,3578
SO43946,30,5688,2011-02-03,2011-02-10,2011-02-15,3578,1,3578
SO43947,32,5713,2011-02-03,2011-02-10,2011-02-15,3578,1,3578
SO43948,8,48,2011-02-03,2011-02-10,2011-02-15,3400,1,3400
SO43949,32,16727,2011-02-04,2011-02-11,2011-02-16,3578,1,3578
SO43950,28,17015,2011-02-04,2011-02-11,2011-02-16,3578,1,3578
SO43951,28,5697,2011-02-04,2011-02-11,2011-02-16,3578,1,3578
SO43952,29,5640,2011-02-04,2011-02-11,2011-02-16,3578,1,3578
SO43953,87,9050,2011-02-05,2011-02-12,2011-02-17,699,1,699
SO43954,28,2603,2011-02-05,2011-02-12,2011-02-17,3578,1,3578
SO43955,31,2662,2011-02-05,2011-02-12,2011-02-17,3578,1,3578
SO43956,7,31,2011-02-05,2011-02-12,2011-02-17,3400,1,3400
SO43957,30,17069,2011-02-06,2011-02-13,2011-02-18,3578,1,3578
SO43958,29,5659,2011-02-06,2011-02-13,2011-02-18,3578,1,3578
SO43959,3,36,2011-02-06,2011-02-13,2011-02-18,3375,1,3375
SO43960,4,47,2011-02-06,2011-02-13,2011-02-18,3375,1,3375
SO43961,28,17032,2011-02-07,2011-02-14,2011-02-19,3578,1,3578
SO43962,29,17077,2011-02-07,2011-02-14,2011-02-19,3578,1,3578
SO43963,31,5686,2011-02-07,2011-02-14,2011-02-19,3578,1,3578
SO43964,29,5746,2011-02-07,2011-02-14,2011-02-19,3578,1,3578
SO43965,6,39,2011-02-07,2011-02-14,2011-02-19,3375,1,3375
SO43966,10,40,2011-02-07,2011-02-14,2011-02-19,3400,1,3400
SO43967,30,17041,2011-02-08,2011-02-15,2011-02-20,3578,1,3578
SO43968,30,17068,2011-02-08,2011-02-15,2011-02-20,3578,1,3578
SO43969,32,17072,2011-02-08,2011-02-15,2011-02-20,3578,1,3578
SO43970,28,5685,2011-02-08,2011-02-15,2011-02-20,3578,1,3578
SO43971,31,5658,2011-02-08,2011-02-15,2011-02-20,3578,1,3578
SO43972,31,10940,2011-02-09,2011-02-16,2011-02-21,3578,1,3578
SO43973,29,17040,2011-02-09,2011-02-16,2011-02-21,3578,1,3578
SO43974,29,2688,2011-02-09,2011-02-16,2011-02-21,3578,1,3578
SO43975,29,2541,2011-02-09,2011-02-16,2011-02-21,3578,1,3578
SO43976,32,17064,2011-02-09,2011-02-16,2011-02-21,3578,1,3578
SO43977,29,5704,2011-02-09,2011-02-16,2011-02-21,3578,1,3578
SO43978,32,17031,2011-02-10,2011-02-17,2011-02-22,3578,1,3578
SO43979,95,3577,2011-02-10,2011-02-17,2011-02-22,699,1,699
SO43980,6,49,2011-02-10,2011-02-17,2011-02-22,3375,1,3375
SO43981,31,5665,2011-02-10,2011-02-17,2011-02-22,3578,1,3578
SO43982,87,14272,2011-02-10,2011-02-17,2011-02-22,699,1,699
SO43983,31,17018,2011-02-11,2011-02-18,2011-02-23,3578,1,3578
SO43984,28,2546,2011-02-11,2011-02-18,2011-02-23,3578,1,3578
SO43985,30,2516,2011-02-11,2011-02-18,2011-02-23,3578,1,3578
SO43986,32,17071,2011-02-11,2011-02-18,2011-02-23,3578,1,3578
SO43987,32,17043,2011-02-12,2011-02-19,2011-02-24,3578,1,3578
SO43988,7,245,2011-02-12,2011-02-19,2011-02-24,3400,1,3400
SO43989,29,17084,2011-02-12,2011-02-19,2011-02-24,3578,1,3578
SO43990,7,14873,2011-02-12,2011-02-19,2011-02-24,3400,1,3400
SO43991,32,5661,2011-02-12,2011-02-19,2011-02-24,3578,1,3578
SO43992,28,5639,2011-02-12,2011-02-19,2011-02-24,3578,1,3578
SO43993,31,5930,2011-02-14,2011-02-21,2011-02-26,3578,1,3578
SO43994,31,16682,2011-02-15,2011-02-22,2011-02-27,3578,1,3578
SO43995,29,10814,2011-02-15,2011-02-22,2011-02-27,3578,1,3578
SO43996,32,16921,2011-02-15,2011-02-22,2011-02-27,3578,1,3578
SO43997,32,17023,2011-02-15,2011-02-22,2011-02-27,3578,1,3578
SO43998,3,34,2011-02-15,2011-02-22,2011-02-27,3375,1,3375
SO43999,28,17048,2011-02-15,2011-02-22,2011-02-27,3578,1,3578
SO44000,28,16919,2011-02-16,2011-02-23,2011-02-28,3578,1,3578
SO44001,30,17045,2011-02-16,2011-02-23,2011-02-28,3578,1,3578
SO44002,90,3573,2011-02-16,2011-02-23,2011-02-28,699,1,699
SO44003,87,8326,2011-02-16,2011-02-23,2011-02-28,699,1,699
SO44004,32,17062,2011-02-16,2011-02-23,2011-02-28,3578,1,3578
SO44005,89,15630,2011-02-16,2011-02-23,2011-02-28,699,1,699
SO44006,32,5745,2011-02-16,2011-02-23,2011-02-28,3578,1,3578
SO44007,94,14556,2011-02-16,2011-02-23,2011-02-28,699,1,699
SO44008,29,16679,2011-02-17,2011-02-24,2011-03-01,3578,1,3578
SO44009,31,16760,2011-02-17,2011-02-24,2011-03-01,3578,1,3578
SO44010,32,2681,2011-02-17,2011-02-24,2011-03-01,3578,1,3578
SO44011,32,2515,2011-02-17,2011-02-24,2011-03-01,3578,1,3578
SO44012,4,53,2011-02-17,2011-02-24,2011-03-01,3375,1,3375
SO44013,29,5929,2011-02-17,2011-02-24,2011-03-01,3578,1,3578
SO44014,30,16918,2011-02-18,2011-02-25,2011-03-02,3578,1,3578
SO44015,28,2694,2011-02-18,2011-02-25,2011-03-02,3578,1,3578
SO44016,5,248,2011-02-18,2011-02-25,2011-03-02,3375,1,3375
SO44017,32,17079,2011-02-18,2011-02-25,2011-03-02,3578,1,3578
SO44018,5,14877,2011-02-18,2011-02-25,2011-03-02,3375,1,3375
SO44019,32,5702,2011-02-18,2011-02-25,2011-03-02,3578,1,3578
SO44020,28,5932,2011-02-18,2011-02-25,2011-03-02,3578,1,3578
SO44021,3,33,2011-02-18,2011-02-25,2011-03-02,3375,1,3375
SO44022,30,11009,2011-02-19,2011-02-26,2011-03-03,3578,1,3578
SO44023,4,8831,2011-02-19,2011-02-26,2011-03-03,3375,1,3375
SO44024,31,5664,2011-02-19,2011-02-26,2011-03-03,3578,1,3578
SO44025,31,5709,2011-02-19,2011-02-26,2011-03-03,3578,1,3578
SO44026,32,6046,2011-02-19,2011-02-26,2011-03-03,3578,1,3578
SO44027,32,10922,2011-02-20,2011-02-27,2011-03-04,3578,1,3578
SO44028,29,6049,2011-02-20,2011-02-27,2011-03-04,3578,1,3578
SO44029,5,51,2011-02-20,2011-02-27,2011-03-04,3375,1,3375
SO44030,28,1132,2011-02-21,2011-02-28,2011-03-05,3578,1,3578
SO44031,30,2690,2011-02-21,2011-02-28,2011-03-05,3578,1,3578
SO44032,7,244,2011-02-21,2011-02-28,2011-03-05,3400,1,3400
SO44033,31,5694,2011-02-21,2011-02-28,2011-03-05,3578,1,3578
SO44034,30,5703,2011-02-21,2011-02-28,2011-03-05,3578,1,3578
SO44035,29,5708,2011-02-21,2011-02-28,2011-03-05,3578,1,3578
SO44036,32,6047,2011-02-21,2011-02-28,2011-03-05,3578,1,3578
SO44037,92,14273,2011-02-21,2011-02-28,2011-03-05,699,1,699
SO44038,7,14869,2011-02-21,2011-02-28,2011-03-05,3400,1,3400
SO44039,87,6972,2011-02-22,2011-03-01,2011-03-06,699,1,699
SO44040,6,58,2011-02-22,2011-03-01,2011-03-06,3375,1,3375
SO44041,30,5743,2011-02-22,2011-03-01,2011-03-06,3578,1,3578
SO44042,30,2679,2011-02-23,2011-03-02,2011-03-07,3578,1,3578
SO44043,28,2680,2011-02-23,2011-03-02,2011-03-07,3578,1,3578
SO44044,31,2691,2011-02-23,2011-03-02,2011-03-07,3578,1,3578
SO44045,7,17395,2011-02-23,2011-03-02,2011-03-07,3400,1,3400
SO44046,30,17065,2011-02-23,2011-03-02,2011-03-07,3578,1,3578
SO44047,7,14879,2011-02-23,2011-03-02,2011-03-07,3400,1,3400
SO44048,31,5714,2011-02-23,2011-03-02,2011-03-07,3578,1,3578
SO44049,31,2539,2011-02-24,2011-03-03,2011-03-08,3578,1,3578
SO44050,32,6051,2011-02-24,2011-03-03,2011-03-08,3578,1,3578
SO44051,32,2692,2011-02-25,2011-03-04,2011-03-09,3578,1,3578
SO44052,31,5638,2011-02-25,2011-03-04,2011-03-09,3578,1,3578
SO44053,85,8330,2011-02-26,2011-03-05,2011-03-10,699,1,699
SO44054,31,2543,2011-02-26,2011-03-05,2011-03-10,3578,1,3578
SO44055,32,2544,2011-02-26,2011-03-05,2011-03-10,3578,1,3578
SO44056,31,2560,2011-02-26,2011-03-05,2011-03-10,3578,1,3578
SO44057,85,3578,2011-02-26,2011-03-05,2011-03-10,699,1,699
SO44058,5,57,2011-02-26,2011-03-05,2011-03-10,3375,1,3375
SO44059,30,5689,2011-02-26,2011-03-05,2011-03-10,3578,1,3578
SO44060,87,14274,2011-02-26,2011-03-05,2011-03-10,699,1,699
SO44061,32,16920,2011-02-27,2011-03-06,2011-03-11,3578,1,3578
SO44062,32,17042,2011-02-27,2011-03-06,2011-03-11,3578,1,3578
SO44063,7,241,2011-02-27,2011-03-06,2011-03-11,3400,1,3400
SO44064,32,11051,2011-02-27,2011-03-06,2011-03-11,3578,1,3578
SO44065,32,17063,2011-02-27,2011-03-06,2011-03-11,3578,1,3578
SO44066,7,14868,2011-02-27,2011-03-06,2011-03-11,3400,1,3400
SO44067,32,6050,2011-02-27,2011-03-06,2011-03-11,3578,1,3578
SO44068,30,2542,2011-02-28,2011-03-07,2011-03-12,3578,1,3578
SO44069,4,17396,2011-02-28,2011-03-07,2011-03-12,3375,1,3375
SO44070,4,8830,2011-02-28,2011-03-07,2011-03-12,3375,1,3375
SO44071,30,5692,2011-02-28,2011-03-07,2011-03-12,3578,1,3578
SO44072,28,5657,2011-02-28,2011-03-07,2011-03-12,3578,1,3578
SO44073,6,45,2011-02-28,2011-03-07,2011-03-12,3375,1,3375
SO44134,32,2822,2011-03-01,2011-03-08,2011-03-13,3578,1,3578
SO44135,32,17157,2011-03-01,2011-03-08,2011-03-13,3578,1,3578
SO44136,28,11115,2011-03-01,2011-03-08,2011-03-13,3578,1,3578
SO44137,31,6329,2011-03-01,2011-03-08,2011-03-13,3578,1,3578
SO44138,32,2766,2011-03-02,2011-03-09,2011-03-14,3578,1,3578
SO44139,28,2793,2011-03-02,2011-03-09,2011-03-14,3578,1,3578
SO44140,28,1222,2011-03-02,2011-03-09,2011-03-14,3578,1,3578
SO44141,30,2573,2011-03-02,2011-03-09,2011-03-14,3578,1,3578
SO44142,30,11059,2011-03-02,2011-03-09,2011-03-14,3578,1,3578
SO44143,30,17146,2011-03-02,2011-03-09,2011-03-14,3578,1,3578
SO44144,29,6072,2011-03-02,2011-03-09,2011-03-14,3578,1,3578
SO44145,32,6310,2011-03-02,2011-03-09,2011-03-14,3578,1,3578
SO44146,30,6311,2011-03-02,2011-03-09,2011-03-14,3578,1,3578
SO44147,32,6321,2011-03-02,2011-03-09,2011-03-14,3578,1,3578
SO44148,32,17173,2011-03-03,2011-03-10,2011-03-15,3578,1,3578
SO44149,29,6243,2011-03-03,2011-03-10,2011-03-15,3578,1,3578
SO44150,29,6316,2011-03-03,2011-03-10,2011-03-15,3578,1,3578
SO44151,92,14559,2011-03-03,2011-03-10,2011-03-15,699,1,699
SO44152,9,335,2011-03-04,2011-03-11,2011-03-16,3400,1,3400
SO44153,29,17169,2011-03-04,2011-03-11,2011-03-16,3578,1,3578
SO44154,28,17182,2011-03-04,2011-03-11,2011-03-16,3578,1,3578
SO44155,30,17132,2011-03-04,2011-03-11,2011-03-16,3578,1,3578
SO44156,9,14888,2011-03-04,2011-03-11,2011-03-16,3400,1,3400
SO44157,31,6056,2011-03-04,2011-03-11,2011-03-16,3578,1,3578
SO44158,28,2568,2011-03-05,2011-03-12,2011-03-17,3578,1,3578
SO44159,28,17183,2011-03-05,2011-03-12,2011-03-17,3578,1,3578
SO44160,29,17187,2011-03-05,2011-03-12,2011-03-17,3578,1,3578
SO44161,31,2773,2011-03-06,2011-03-13,2011-03-18,3578,1,3578
SO44162,28,17186,2011-03-06,2011-03-13,2011-03-18,3578,1,3578
SO44163,31,17194,2011-03-06,2011-03-13,2011-03-18,3578,1,3578
SO44164,32,17089,2011-03-06,2011-03-13,2011-03-18,3578,1,3578
SO44165,30,6066,2011-03-06,2011-03-13,2011-03-18,3578,1,3578
SO44166,85,3582,2011-03-06,2011-03-13,2011-03-18,699,1,699
SO44167,31,6309,2011-03-06,2011-03-13,2011-03-18,3578,1,3578
SO44168,30,1212,2011-03-07,2011-03-14,2011-03-19,3578,1,3578
SO44169,28,17180,2011-03-07,2011-03-14,2011-03-19,3578,1,3578
SO44170,31,17184,2011-03-07,2011-03-14,2011-03-19,3578,1,3578
SO44171,30,17113,2011-03-07,2011-03-14,2011-03-19,3578,1,3578
SO44172,85,3585,2011-03-07,2011-03-14,2011-03-19,699,1,699
SO44173,29,2785,2011-03-08,2011-03-15,2011-03-20,3578,1,3578
SO44174,28,6230,2011-03-08,2011-03-15,2011-03-20,3578,1,3578
SO44175,30,6247,2011-03-08,2011-03-15,2011-03-20,3578,1,3578
SO44176,31,1221,2011-03-09,2011-03-16,2011-03-21,3578,1,3578
SO44177,5,338,2011-03-09,2011-03-16,2011-03-21,3375,1,3375
SO44178,29,17098,2011-03-09,2011-03-16,2011-03-21,3578,1,3578
SO44179,5,14889,2011-03-09,2011-03-16,2011-03-21,3375,1,3375
SO44180,10,59,2011-03-09,2011-03-16,2011-03-21,3400,1,3400
SO44181,29,6295,2011-03-09,2011-03-16,2011-03-21,3578,1,3578
SO44182,32,6300,2011-03-09,2011-03-16,2011-03-21,3578,1,3578
SO44183,32,17159,2011-03-10,2011-03-17,2011-03-22,3578,1,3578
SO44184,31,6248,2011-03-10,2011-03-17,2011-03-22,3578,1,3578
SO44185,32,6281,2011-03-10,2011-03-17,2011-03-22,3578,1,3578
SO44186,10,14890,2011-03-12,2011-03-19,2011-03-24,3400,1,3400
SO44187,30,6070,2011-03-12,2011-03-19,2011-03-24,3578,1,3578
SO44188,89,9053,2011-03-13,2011-03-20,2011-03-25,699,1,699
SO44189,95,9055,2011-03-13,2011-03-20,2011-03-25,699,1,699
SO44190,3,62,2011-03-13,2011-03-20,2011-03-25,3375,1,3375
SO44191,32,6249,2011-03-13,2011-03-20,2011-03-25,3578,1,3578
